id,title,description,category,subcategory,subsubcategory
793,Preimage Size of Factorial Zeroes Function,"Let f(x) be the number of zeroes at the end of x!. Recall that x! = 1 * 2 * 3 * ... * x and by convention, 0! = 1.	For example, f(3) = 0 because 3! = 6 has no zeroes at the end, while f(11) = 2 because 11! = 39916800 has two zeroes at the end.Given an integer k, return the number of non-negative integers x have the property that f(x) = k. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
794,Valid Tic-Tac-Toe State,"Given a Tic-Tac-Toe board as a string array board, return true if and only if it is possible to reach this board position during the course of a valid tic-tac-toe game.The board is a 3 x 3 array that consists of characters &#39; &#39;, &#39;X&#39;, and &#39;O&#39;. The &#39; &#39; character represents an empty square.Here are the rules of Tic-Tac-Toe:	Players take turns placing characters into empty squares &#39; &#39;.	The first player always places &#39;X&#39; characters, while the second player always places &#39;O&#39; characters.	&#39;X&#39; and &#39;O&#39; characters are always placed into empty squares, never filled ones.	The game ends when there are three of the same (non-empty) character filling any row, column, or diagonal.	The game also ends if all squares are non-empty.	No more moves can be played if the game is over. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
796,Rotate String,"Given two strings s and goal, return true if and only if s can become goal after some number of shifts on s.A shift on s consists of moving the leftmost character of s to the rightmost position.	For example, if s = &quot;abcde&quot;, then it will be &quot;bcdea&quot; after one shift. ",Arrays & Strings,Basic Manipulation,Reversal & Rotation
797,All Paths From Source to Target,"Given a directed acyclic graph (DAG) of n nodes labeled from 0 to n - 1, find all possible paths from node 0 to node n - 1 and return them in any order.The graph is given as follows: graph[i] is a list of all nodes you can visit from node i (i.e., there is a directed edge from node i to node graph[i][j]). ",Graphs,Basic Graph Traversal,Depth-First Search (DFS)
798,Smallest Rotation with Highest Score,"You are given an array nums. You can rotate it by a non-negative integer k so that the array becomes [nums[k], nums[k + 1], ... nums[nums.length - 1], nums[0], nums[1], ..., nums[k-1]]. Afterward, any entries that are less than or equal to their index are worth one point.	For example, if we have nums = [2,4,1,3,0], and we rotate by k = 2, it becomes [1,3,0,2,4]. This is worth 3 points because 1 > 0 [no points], 3 > 1 [no points], 0 Return the rotation index k that corresponds to the highest score we can achieve if we rotated nums by it. If there are multiple answers, return the smallest such index k. ",Arrays & Strings,Basic Manipulation,Reversal & Rotation
799,Champagne Tower,"We stack glasses in a pyramid, where the first row has 1 glass, the second row has 2 glasses, and so on until the 100th row.  Each glass holds one cup of champagne.

Then, some champagne is poured into the first glass at the top.  When the topmost glass is full, any excess liquid poured will fall equally to the glass immediately to the left and right of it.  When those glasses become full, any excess champagne will fall equally to the left and right of those glasses, and so on.  (A glass at the bottom row has its excess champagne fall on the floor.)

For example, after one cup of champagne is poured, the top most glass is full.  After two cups of champagne are poured, the two glasses on the second row are half full.  After three cups of champagne are poured, those two cups become full - there are 3 full glasses total now.  After four cups of champagne are poured, the third row has the middle glass half full, and the two outside glasses are a quarter full, as pictured below.



Now after pouring some non-negative integer cups of champagne, return how full the jth glass in the ith row is (both i and j are 0-indexed.)

 
",Dynamic Programming (DP),2D DP,Matrix Path Problems
800,Similar RGB Color,,Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
801,Minimum Swaps To Make Sequences Increasing,"You are given two integer arrays of the same length nums1 and nums2. In one operation, you are allowed to swap nums1[i] with nums2[i].	For example, if nums1 = [1,2,3,8], and nums2 = [5,6,7,4], you can swap the element at i = 3 to obtain nums1 = [1,2,3,4] and nums2 = [5,6,7,8].Return the minimum number of needed operations to make nums1 and nums2 strictly increasing. The test cases are generated so that the given input always makes it possible.An array arr is strictly increasing if and only if arr[0] < arr[1] < arr[2] < ... < arr[arr.length - 1]. ",Dynamic Programming (DP),2D DP,Matrix Path Problems
802,Find Eventual Safe States,"There is a directed graph of n nodes with each node labeled from 0 to n - 1. The graph is represented by a 0-indexed 2D integer array graph where graph[i] is an integer array of nodes adjacent to node i, meaning there is an edge from node i to each node in graph[i].A node is a terminal node if there are no outgoing edges. A node is a safe node if every possible path starting from that node leads to a terminal node (or another safe node).Return an array containing all the safe nodes of the graph. The answer should be sorted in ascending order. ",Graphs,Topological Sort & Directed Acyclic Graphs (DAGs),Cycle detection in directed graphs
803,Bricks Falling When Hit,"You are given an m x n binary grid, where each 1 represents a brick and 0 represents an empty space. A brick is stable if:	It is directly connected to the top of the grid, or	At least one other brick in its four adjacent cells is stable.You are also given an array hits, which is a sequence of erasures we want to apply. Each time we want to erase the brick at the location hits[i] = (rowi, coli). The brick on that location (if it exists) will disappear. Some other bricks may no longer be stable because of that erasure and will fall. Once a brick falls, it is immediately erased from the grid (i.e., it does not land on other stable bricks).Return an array result, where each result[i] is the number of bricks that will fall after the ith erasure is applied.Note that an erasure may refer to a location with no brick, and if it does, no bricks drop. ",Graphs,Basic Graph Traversal,Connected Components
